Price,Close,High,Low,Open,Volume
Ticker,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD
Datetime,,,,,
2026-01-23 03:00:00+00:00,2960.040283203125,2961.9345703125,2949.54296875,2950.24365234375,0
2026-01-23 04:00:00+00:00,2977.571533203125,2979.115234375,2959.85009765625,2960.37841796875,5591040
2026-01-23 05:00:00+00:00,2965.036865234375,2975.935791015625,2962.711669921875,2975.935791015625,302739456
2026-01-23 06:00:00+00:00,2936.41357421875,2971.10791015625,2935.650634765625,2965.509765625,116543488
2026-01-23 07:00:00+00:00,2945.063720703125,2946.84619140625,2933.950927734375,2935.762451171875,398340096
2026-01-23 08:00:00+00:00,2924.12060546875,2946.239013671875,2919.328369140625,2945.101318359375,173621248
2026-01-23 09:00:00+00:00,2917.021240234375,2930.154296875,2912.80224609375,2924.073974609375,416696320
2026-01-23 10:00:00+00:00,2926.905517578125,2929.830078125,2913.49755859375,2917.2626953125,0
2026-01-23 11:00:00+00:00,2935.152587890625,2941.50244140625,2925.741943359375,2927.2080078125,0
2026-01-23 12:00:00+00:00,2932.373291015625,2936.7255859375,2926.768798828125,2936.7255859375,0
2026-01-23 13:00:00+00:00,2926.5244140625,2939.054931640625,2925.483154296875,2931.497314453125,0
2026-01-23 14:00:00+00:00,2913.327880859375,2937.105224609375,2893.209228515625,2927.04150390625,0
2026-01-23 15:00:00+00:00,2946.415283203125,2955.408447265625,2901.669921875,2912.574951171875,0
2026-01-23 16:00:00+00:00,2964.290771484375,2974.024169921875,2939.537353515625,2948.543212890625,0
2026-01-23 17:00:00+00:00,2983.4560546875,3013.9541015625,2958.087890625,2963.60791015625,1782798336
2026-01-23 18:00:00+00:00,2987.438232421875,3002.8251953125,2977.812255859375,2983.592041015625,247699456
2026-01-23 19:00:00+00:00,2955.701416015625,2985.068359375,2947.688720703125,2985.068359375,32983040
2026-01-23 20:00:00+00:00,2941.109130859375,2958.3203125,2928.576171875,2955.633544921875,530905088
2026-01-23 21:00:00+00:00,2940.634033203125,2948.643310546875,2936.48193359375,2936.48193359375,107900928
2026-01-23 22:00:00+00:00,2956.97802734375,2957.203857421875,2940.730224609375,2940.730224609375,0
2026-01-23 23:00:00+00:00,2953.62158203125,2956.359375,2948.5869140625,2956.359375,0
2026-01-24 00:00:00+00:00,2948.590576171875,2953.91748046875,2946.25341796875,2952.7431640625,0
2026-01-24 01:00:00+00:00,2951.22021484375,2954.90478515625,2946.8349609375,2946.8349609375,0
2026-01-24 02:00:00+00:00,2954.762939453125,2956.930419921875,2951.47412109375,2951.729248046875,0
2026-01-24 03:00:00+00:00,2958.4296875,2965.26123046875,2954.252197265625,2954.828369140625,162453504
2026-01-24 04:00:00+00:00,2959.24169921875,2961.791259765625,2955.85791015625,2958.311279296875,0
2026-01-24 05:00:00+00:00,2955.725341796875,2961.068115234375,2954.3203125,2959.147216796875,0
2026-01-24 06:00:00+00:00,2957.44677734375,2959.089111328125,2955.00732421875,2956.191650390625,0
2026-01-24 07:00:00+00:00,2953.38330078125,2957.387451171875,2950.94677734375,2957.387451171875,0
2026-01-24 08:00:00+00:00,2957.50927734375,2957.50927734375,2951.415283203125,2953.534912109375,0
2026-01-24 09:00:00+00:00,2956.081787109375,2959.79736328125,2955.846923828125,2957.63427734375,0
2026-01-24 10:00:00+00:00,2957.098876953125,2957.277099609375,2954.6328125,2956.057373046875,0
2026-01-24 11:00:00+00:00,2956.64453125,2959.5830078125,2956.64453125,2957.093994140625,0
2026-01-24 12:00:00+00:00,2958.12744140625,2958.8916015625,2955.036865234375,2956.37060546875,0
2026-01-24 13:00:00+00:00,2955.504638671875,2958.667236328125,2955.408935546875,2958.055908203125,0
2026-01-24 14:00:00+00:00,2954.761474609375,2955.04931640625,2943.447021484375,2951.16650390625,0
2026-01-24 15:00:00+00:00,2951.504150390625,2962.66650390625,2951.504150390625,2954.90869140625,0
2026-01-24 16:00:00+00:00,2954.418701171875,2956.60888671875,2948.413818359375,2952.74560546875,0
2026-01-24 17:00:00+00:00,2959.322509765625,2960.06689453125,2953.82666015625,2954.32177734375,0
2026-01-24 18:00:00+00:00,2959.381103515625,2963.276611328125,2958.18310546875,2959.197021484375,0
2026-01-24 19:00:00+00:00,2950.67041015625,2959.256591796875,2949.366455078125,2959.256591796875,0
2026-01-24 20:00:00+00:00,2952.1396484375,2953.81884765625,2949.323974609375,2949.733642578125,0
2026-01-24 21:00:00+00:00,2952.142822265625,2952.142822265625,2946.234619140625,2952.112060546875,0
2026-01-24 22:00:00+00:00,2956.851318359375,2959.389404296875,2953.12109375,2953.12109375,0
2026-01-24 23:00:00+00:00,2948.48046875,2959.63720703125,2948.48046875,2958.0595703125,0
2026-01-25 00:00:00+00:00,2953.735107421875,2953.735107421875,2948.65283203125,2948.65283203125,0
2026-01-25 01:00:00+00:00,2950.361328125,2954.96044921875,2945.71337890625,2954.11376953125,76206080
2026-01-25 02:00:00+00:00,2949.04296875,2952.71826171875,2948.6708984375,2950.4658203125,0
2026-01-25 03:00:00+00:00,2938.7080078125,2949.701416015625,2934.318115234375,2948.716552734375,0
2026-01-25 04:00:00+00:00,2942.110107421875,2944.2548828125,2937.062744140625,2938.48095703125,191442432
2026-01-25 05:00:00+00:00,2942.80615234375,2943.78173828125,2938.182373046875,2940.93359375,47011328
2026-01-25 06:00:00+00:00,2939.370361328125,2942.661865234375,2932.1650390625,2942.661865234375,121939968
2026-01-25 07:00:00+00:00,2934.908935546875,2939.337646484375,2934.58935546875,2939.337646484375,0
2026-01-25 08:00:00+00:00,2926.61865234375,2939.6787109375,2922.491943359375,2935.078857421875,397803520
2026-01-25 09:00:00+00:00,2931.26318359375,2934.39111328125,2923.56591796875,2926.06103515625,113028608
2026-01-25 10:00:00+00:00,2940.928955078125,2942.464599609375,2931.230712890625,2931.230712890625,464528896
2026-01-25 11:00:00+00:00,2932.469482421875,2940.794189453125,2928.0869140625,2940.794189453125,245733376
2026-01-25 12:00:00+00:00,2937.9306640625,2938.394287109375,2928.83642578125,2932.781494140625,172613632
2026-01-25 13:00:00+00:00,2938.421630859375,2940.121826171875,2932.154296875,2937.9189453125,182955008
2026-01-25 14:00:00+00:00,2928.999755859375,2938.2109375,2921.921630859375,2938.2109375,67320832
2026-01-25 15:00:00+00:00,2921.63916015625,2930.738525390625,2919.6728515625,2928.77783203125,0
2026-01-25 16:00:00+00:00,2893.77099609375,2922.57470703125,2878.46337890625,2922.57470703125,2301444096
2026-01-25 17:00:00+00:00,2880.1357421875,2893.1044921875,2877.380615234375,2893.048828125,383022080
2026-01-25 18:00:00+00:00,2845.67578125,2883.92431640625,2831.651123046875,2880.314208984375,2320598016
2026-01-25 19:00:00+00:00,2810.1083984375,2849.15185546875,2799.777099609375,2845.16162109375,2059327488
2026-01-25 20:00:00+00:00,2806.2587890625,2816.74755859375,2786.725341796875,2809.589111328125,2163987456
2026-01-25 21:00:00+00:00,2815.724609375,2820.458251953125,2803.497802734375,2812.919189453125,1254871040
2026-01-25 22:00:00+00:00,2801.603515625,2815.454345703125,2788.183349609375,2815.454345703125,1241792512
2026-01-25 23:00:00+00:00,2815.14404296875,2817.320556640625,2785.896728515625,2803.12060546875,1114122240
2026-01-26 00:00:00+00:00,2837.65185546875,2840.06689453125,2813.182373046875,2815.301513671875,1301995520
2026-01-26 01:00:00+00:00,2877.47802734375,2892.1875,2836.257568359375,2838.72900390625,1569007616
2026-01-26 02:00:00+00:00,2860.8251953125,2880.468994140625,2860.8251953125,2878.766357421875,942215168
2026-01-26 03:00:00+00:00,2843.313720703125,2866.519287109375,2838.3935546875,2861.380126953125,524509184
2026-01-26 04:00:00+00:00,2861.52783203125,2870.080322265625,2845.724853515625,2845.724853515625,354379776
2026-01-26 05:00:00+00:00,2867.00830078125,2867.78662109375,2857.218017578125,2861.8544921875,1202233344
2026-01-26 06:00:00+00:00,2887.700439453125,2887.700439453125,2864.166259765625,2866.75537109375,730214400
2026-01-26 07:00:00+00:00,2900.336669921875,2902.778564453125,2886.727294921875,2887.8564453125,838643712
2026-01-26 08:00:00+00:00,2908.876953125,2918.569580078125,2895.21240234375,2900.044189453125,1111093248
2026-01-26 09:00:00+00:00,2882.495361328125,2908.86962890625,2879.006591796875,2908.86962890625,362213376
2026-01-26 10:00:00+00:00,2893.23193359375,2898.020263671875,2882.6943359375,2882.6943359375,371386368
2026-01-26 11:00:00+00:00,2889.08642578125,2896.97802734375,2887.293212890625,2893.116943359375,361125888
2026-01-26 12:00:00+00:00,2898.58251953125,2908.974853515625,2889.065673828125,2889.065673828125,253335552
